Fre_ch,pwr
1.0,15.15
2.0,15.05
3.0,15.05
4.0,15.08
5.0,15.13
6.0,15.05
7.0,14.95
8.0,14.92
9.0,15.08
10.0,15.14
11.0,15.03
12.0,14.96
13.0,14.98
14.0,15.04
15.0,15.02
16.0,14.94
17.0,14.92
18.0,15.05
19.0,15.08
20.0,14.99
21.0,14.94
22.0,14.9
23.0,14.97
24.0,15.02
25.0,14.96
26.0,15.0
27.0,15.01
28.0,15.03
29.0,15.01
30.0,14.89
31.0,14.92
32.0,14.97
33.0,15.05
34.0,15.03
35.0,14.93
36.0,15.03
37.0,14.98
38.0,15.04
39.0,14.89
40.0,14.88
41.0,15.02
42.0,15.05
43.0,15.03
44.0,14.89
45.0,14.88
46.0,14.97
47.0,14.98
48.0,14.96
49.0,14.91
50.0,14.96
51.0,15.08
52.0,15.02
53.0,14.88
54.0,14.87
55.0,14.94
56.0,15.08
57.0,15.04
58.0,14.94
59.0,14.94
60.0,15.04
61.0,15.08
62.0,14.93
63.0,14.9
64.0,14.92
65.0,15.08
66.0,15.08
67.0,14.93
68.0,14.92
69.0,14.97
70.0,15.0
71.0,14.98
72.0,14.92
73.0,14.96
74.0,15.04
75.0,15.07
76.0,14.93
77.0,14.86
78.0,14.91
79.0,15.0
80.0,15.09
