Fre_ch,pwr
1,15.132
2,15.045
3,15.006
4,15.082
5,15.125
6,15.065
7,14.95
8,14.958
9,15.106
10,15.178
11,15.074
12,14.996
13,15.014
14,15.08
15,15.087
16,15.002
17,14.999
18,15.091
19,15.164
20,15.074
21,14.975
22,14.965
23,15.038
24,15.119
25,15.069
26,15.025
27,15.057
28,15.098
29,15.074
30,14.956
31,14.943
32,14.977
33,15.14
34,15.082
35,14.992
36,15.013
37,14.982
38,15.049
39,14.978
40,14.902
41,15.004
42,15.083
43,15.058
44,14.906
45,14.909
46,14.959
47,15.039
48,15.035
49,14.92
50,14.999
51,15.071
52,15.032
53,14.927
54,14.891
55,14.968
56,15.076
57,15.1
58,15.011
59,15.011
60,15.031
61,15.029
62,14.969
63,14.91
64,14.997
65,15.139
66,15.086
67,14.974
68,14.937
69,15.017
70,15.089
71,15.038
72,14.965
73,14.986
74,15.123
75,15.14
76,14.982
77,14.893
78,14.936
79,15.056
80,15.121
End.
